,Mean,Std
Reach,0.06928247767277806,0.00040321560561338345
Reach:Sb[T.DAX],-0.04812971672370736,0.0031186918904071554
Reach:Sb[T.Facebook],-0.03142257789598768,0.0026487558075435546
Reach:Sb[T.Find a Masters],0.012708364039406006,0.00273574154890328
Reach:Sb[T.FoneMedia],0.12124790423520793,0.0020509450729084625
Reach:Sb[T.Google Display Network],0.013603766873202972,0.00048615068568903325
Reach:Sb[T.Hotcourses],-0.04332732987409571,0.0006140440910189594
Reach:Sb[T.Instagram],-0.038958428510415866,0.0027006719253873895
Reach:Sb[T.LinkedIn],-0.009694134955930744,0.0027557891712162224
Reach:Sb[T.Open Days],0.01134788921212071,0.0029815005544872246
Reach:Sb[T.Paid Search],0.11150795129694291,0.0027997050827195703
Reach:Sb[T.Postgraduate Search],-0.02822306268835706,0.0020039165245562375
Reach:Sb[T.Programmatic],0.04966597885138979,0.00042344960938744123
Reach:Sb[T.Prospects],-0.0027948353601054965,0.001918398797806724
Reach:Sb[T.Rare_Site],0.004471879675732815,0.0017209543876371696
Reach:Sb[T.Student Crowd],0.027728167414707905,0.002997123907301273
Reach:Sb[T.Study Portals],-0.02857046679395525,0.0022814100321653192
Reach:Sb[T.THE Online],-0.037609941134709945,0.002498578241072961
Reach:Sb[T.The Complete University Guide],-0.0057458104141878685,0.0008505402546603526
Reach:Sb[T.The Student Room],-0.015901014188030693,0.0007877615108578716
Reach:Sb[T.Twitter],-0.048583127532310644,0.0028658334655635056
Reach:Sb[T.UCAS],0.1715496378071686,0.0006674316368534718
Reach:Sb[T.What Uni],0.00487233089881256,0.0005447029521101036
Reach:Sb[T.YouTube],-0.0042188115158184325,0.002760607844405534
Reach:Pb[T.Leaderboards],0.00617099876780447,0.0006487283027340135
Reach:Pb[T.MPUs],0.03737397195961112,0.0005617200027754603
Reach:Pb[T.Tracking],0.05435632550537273,0.0004284440016223477
Reach:Sb[T.DAX]:Pb[T.Leaderboards],2.3529103483036853e-15,0.005083592431876742
Reach:Sb[T.Facebook]:Pb[T.Leaderboards],-9.311794838017556e-16,0.005083592431876741
Reach:Sb[T.Find a Masters]:Pb[T.Leaderboards],8.378315859937448e-17,0.005083592431876734
Reach:Sb[T.FoneMedia]:Pb[T.Leaderboards],1.932412053118869e-15,0.005083592431876739
Reach:Sb[T.Google Display Network]:Pb[T.Leaderboards],0.024696879714215747,0.000789623917161312
Reach:Sb[T.Hotcourses]:Pb[T.Leaderboards],0.004750703955672897,0.0011286526999148233
Reach:Sb[T.Instagram]:Pb[T.Leaderboards],-3.5436269975101744e-15,0.005083592431876737
Reach:Sb[T.LinkedIn]:Pb[T.Leaderboards],2.786819413755811e-15,0.005083592431876741
Reach:Sb[T.Open Days]:Pb[T.Leaderboards],-1.985458291121403e-15,0.005083592431876737
Reach:Sb[T.Paid Search]:Pb[T.Leaderboards],1.7165306487404094e-15,0.00508359243187674
Reach:Sb[T.Postgraduate Search]:Pb[T.Leaderboards],-0.012956241461460793,0.0035775602720645055
Reach:Sb[T.Programmatic]:Pb[T.Leaderboards],-0.0038539872546046183,0.0006879851625115932
Reach:Sb[T.Prospects]:Pb[T.Leaderboards],-8.492009756841393e-16,0.005083592431876737
Reach:Sb[T.Rare_Site]:Pb[T.Leaderboards],-0.00045910486007527673,0.0037526094398119044
Reach:Sb[T.Student Crowd]:Pb[T.Leaderboards],7.940034959190214e-15,0.00508359243187674
Reach:Sb[T.Study Portals]:Pb[T.Leaderboards],-7.0426402009175095e-15,0.0050835924318767415
Reach:Sb[T.THE Online]:Pb[T.Leaderboards],-0.001392698551134025,0.004900798100502226
Reach:Sb[T.The Complete University Guide]:Pb[T.Leaderboards],-0.014450325074096604,0.0013099516298116867
Reach:Sb[T.The Student Room]:Pb[T.Leaderboards],0.017678721465718805,0.001082208128519741
Reach:Sb[T.Twitter]:Pb[T.Leaderboards],1.4321642839894234e-16,0.005083592431876739
Reach:Sb[T.UCAS]:Pb[T.Leaderboards],-0.010835078828368871,0.0011652717542994637
Reach:Sb[T.What Uni]:Pb[T.Leaderboards],0.002992129661959275,0.0008861081620876129
Reach:Sb[T.YouTube]:Pb[T.Leaderboards],-5.592688349115449e-15,0.005083592431876741
Reach:Sb[T.DAX]:Pb[T.MPUs],-0.0005173695781957241,0.005038946013029027
Reach:Sb[T.Facebook]:Pb[T.MPUs],2.061528730251462e-15,0.005083592431876737
Reach:Sb[T.Find a Masters]:Pb[T.MPUs],-2.2706425021704223e-15,0.005083592431876739
Reach:Sb[T.FoneMedia]:Pb[T.MPUs],0.06649448125805746,0.0024303076930663114
Reach:Sb[T.Google Display Network]:Pb[T.MPUs],0.05979779758374226,0.0007104002298252527
Reach:Sb[T.Hotcourses]:Pb[T.MPUs],-0.012547694470582016,0.0010876263318923252
Reach:Sb[T.Instagram]:Pb[T.MPUs],-4.606235317566842e-15,0.005083592431876738
Reach:Sb[T.LinkedIn]:Pb[T.MPUs],-5.685555116424947e-16,0.005083592431876737
Reach:Sb[T.Open Days]:Pb[T.MPUs],6.814360399022619e-16,0.005083592431876739
Reach:Sb[T.Paid Search]:Pb[T.MPUs],-6.134576954901298e-16,0.00508359243187674
Reach:Sb[T.Postgraduate Search]:Pb[T.MPUs],-1.0721862016239432e-15,0.005083592431876741
Reach:Sb[T.Programmatic]:Pb[T.MPUs],0.0011340958733105921,0.0006065566189782875
Reach:Sb[T.Prospects]:Pb[T.MPUs],0.030638364291155185,0.002097988392278368
Reach:Sb[T.Rare_Site]:Pb[T.MPUs],-0.020387259406741798,0.0031474625585832167
Reach:Sb[T.Student Crowd]:Pb[T.MPUs],-1.328147211097241e-15,0.005083592431876741
Reach:Sb[T.Study Portals]:Pb[T.MPUs],-0.02786451712199045,0.003287234459019751
Reach:Sb[T.THE Online]:Pb[T.MPUs],0.0009599158482920256,0.0031569560669178023
Reach:Sb[T.The Complete University Guide]:Pb[T.MPUs],-0.04440574374184836,0.0015951173213670494
Reach:Sb[T.The Student Room]:Pb[T.MPUs],-0.0322629456195247,0.0010778373226850507
Reach:Sb[T.Twitter]:Pb[T.MPUs],-1.0403103187602093e-29,0.005083592431876736
Reach:Sb[T.UCAS]:Pb[T.MPUs],0.0333944935158037,0.0009054136440813378
Reach:Sb[T.What Uni]:Pb[T.MPUs],-0.01705964647189817,0.0009892195269908964
Reach:Sb[T.YouTube]:Pb[T.MPUs],5.9164567891575885e-31,0.0050835924318767345
Reach:Sb[T.DAX]:Pb[T.Tracking],-0.047612347145537526,0.0031279101264606573
Reach:Sb[T.Facebook]:Pb[T.Tracking],-0.03142257789599201,0.0026487558075435603
Reach:Sb[T.Find a Masters]:Pb[T.Tracking],0.01270836403940323,0.0027357415489032803
Reach:Sb[T.FoneMedia]:Pb[T.Tracking],0.05475342297715491,0.0022628935872956494
Reach:Sb[T.Google Display Network]:Pb[T.Tracking],0.061747981113215555,0.0021429773619278565
Reach:Sb[T.Hotcourses]:Pb[T.Tracking],0.039239465293023024,0.001497614902151251
Reach:Sb[T.Instagram]:Pb[T.Tracking],-0.038958428510426635,0.0027006719253873904
Reach:Sb[T.LinkedIn]:Pb[T.Tracking],-0.009694134955932854,0.0027557891712162125
Reach:Sb[T.Open Days]:Pb[T.Tracking],0.01134788921211688,0.0029815005544872168
Reach:Sb[T.Paid Search]:Pb[T.Tracking],0.1115079512969494,0.0027997050827195764
Reach:Sb[T.Postgraduate Search]:Pb[T.Tracking],-0.007865216368875716,0.0020878079598491356
Reach:Sb[T.Programmatic]:Pb[T.Tracking],0.07602031826110411,0.0007761518073068639
Reach:Sb[T.Prospects]:Pb[T.Tracking],-0.03343319965126307,0.002035713195134653
Reach:Sb[T.Rare_Site]:Pb[T.Tracking],-0.021743138859003697,0.0018385934807392344
Reach:Sb[T.Student Crowd]:Pb[T.Tracking],0.027728167414710847,0.002997123907301272
Reach:Sb[T.Study Portals]:Pb[T.Tracking],-0.0007059496719588609,0.0024016217116553116
Reach:Sb[T.THE Online]:Pb[T.Tracking],-0.035967027206512625,0.003166942439608016
Reach:Sb[T.The Complete University Guide]:Pb[T.Tracking],0.16102951302939394,0.001213723358639318
Reach:Sb[T.The Student Room]:Pb[T.Tracking],-0.011168590494312625,0.0012146342842064006
Reach:Sb[T.Twitter]:Pb[T.Tracking],-0.04858312753231547,0.0028658334655635035
Reach:Sb[T.UCAS]:Pb[T.Tracking],-0.1600312458728752,0.0008078035620423885
Reach:Sb[T.What Uni]:Pb[T.Tracking],0.06591918359340454,0.0007664022492514907
Reach:Sb[T.YouTube]:Pb[T.Tracking],-0.004218811515814491,0.0027606078444055355
