,Mean,Std
Reach,0.09162682423309754,0.0013791178619159705
Reach:Sb[T.DAX],-0.08640270177709475,0.004107111833548652
Reach:Sb[T.Facebook],-0.030347337705844524,0.0014409267565407501
Reach:Sb[T.Find a Masters],0.05858612177843092,0.0018601100013241414
Reach:Sb[T.FoneMedia],0.21652149850272195,0.001902318384459891
Reach:Sb[T.Google Display Network],0.03785266594416825,0.0014129343099308319
Reach:Sb[T.Hotcourses],-0.0486492785099788,0.0015112822117577006
Reach:Sb[T.Instagram],-0.04796391204997619,0.0016803811164062138
Reach:Sb[T.LinkedIn],0.011507368150979858,0.0019460038125015573
Reach:Sb[T.Open Days],0.057428114170820166,0.0031587518910002103
Reach:Sb[T.Paid Search],0.2693262476846279,0.0021656259681484755
Reach:Sb[T.Postgraduate Search],-0.00916325528328521,0.0016889428026282468
Reach:Sb[T.Programmatic],0.042206782096961604,0.0013890221861338845
Reach:Sb[T.Prospects],0.02770659728450653,0.0015125717813041495
Reach:Sb[T.Rare_Site],0.012595806742018212,0.0016754460812030162
Reach:Sb[T.Student Crowd],0.09542612452059807,0.0032510408074466653
Reach:Sb[T.Study Portals],-0.005704365708860237,0.002047767000347669
Reach:Sb[T.THE Online],-0.046094014274650874,0.003747392336762668
Reach:Sb[T.The Complete University Guide],0.028655573184140692,0.0015456171618218341
Reach:Sb[T.The Student Room],-0.019469526852919472,0.0014359443613420082
Reach:Sb[T.Twitter],-0.07418020741048537,0.002562966129156193
Reach:Sb[T.UCAS],0.14782110041726781,0.001435231319762737
Reach:Sb[T.What Uni],0.01461403277729012,0.0014387515669415853
Reach:Sb[T.YouTube],0.022948883882802917,0.001969748327219923
